Name,P10,P11,P16,P12,P17,P18
DP 0,50,30,400000,50,8000,33177.98821
DP 1,50,20.125,335750,50,6355,2312.609429
DP 2,50,20.375,92750,50,4825,152895.6365
DP 3,50,20.625,205250,50,8875,7870.191146
DP 4,50,20.875,362750,50,2665,2887.874963
DP 5,50,21.125,110750,50,7255,73956.1875
DP 6,50,21.375,263750,50,2215,9141.342133
DP 7,50,21.625,443750,50,4375,1936.538025
DP 8,50,21.875,227750,50,8515,9508.754208
DP 9,50,22.125,142250,50,7975,54681.45551
DP 10,50,22.375,74750,50,1225,1000000
DP 11,50,22.625,178250,50,1855,59887.80733
DP 12,50,22.875,412250,50,5995,3741.537515
DP 13,50,23.125,290750,50,3925,13726.71392
DP 14,50,23.375,160250,50,4645,78967.34615
DP 15,50,23.625,119750,50,7165,134125.6664
DP 16,50,23.875,295250,50,2305,16500.0213
DP 17,50,24.125,461750,50,5905,4123.329417
DP 18,50,24.375,187250,50,9415,42478.53333
DP 19,50,24.625,497750,50,1675,4304.267793
DP 20,50,24.875,317750,50,1945,17999.74521
DP 21,50,25.125,389750,50,2485,9288.657213
DP 22,50,25.375,479750,50,8425,4653.514969
DP 23,50,25.625,79250,50,3655,1000000
DP 24,50,25.875,281750,50,5365,33655.92837
DP 25,50,26.125,304250,50,6985,28305.06189
DP 26,50,26.375,245750,50,4195,70615.14453
DP 27,50,26.625,164750,50,8155,116474.592
DP 28,50,26.875,430250,50,8065,9423.941455
DP 29,50,27.125,371750,50,4285,19864.18054
DP 30,50,27.375,416750,50,3295,18340.78893
DP 32,50,27.875,209750,50,7075,147163.7436
DP 33,50,28.125,299750,50,6805,58253.37138
DP 34,50,28.375,218750,50,8335,103473.3475
DP 35,50,28.625,259250,50,9145,62939.69333
DP 36,50,28.875,434750,50,6625,17448.75344
DP 37,50,29.125,484250,50,7795,15018.23086
DP 38,50,29.375,358250,50,5005,49969.46317
DP 39,50,29.625,88250,50,4105,1000000
DP 40,50,29.875,241250,50,8695,141523.726
DP 41,50,30.125,488750,50,2845,24118.52393
DP 42,50,30.375,448250,50,3025,26700.95986
DP 43,50,30.625,133250,50,2575,1000000
DP 44,50,30.875,182750,50,3205,1000000
DP 45,50,31.125,272750,50,9955,92982.81929
DP 46,50,31.375,196250,50,2395,1000000
DP 47,50,31.625,232250,50,3835,445686.0313
DP 48,50,31.875,200750,50,4915,1000000
DP 49,50,32.125,268250,50,7885,179374.9802
DP 50,50,32.375,403250,50,9595,52333.14268
DP 51,50,32.625,97250,50,3745,1000000
DP 52,50,32.875,475250,50,1315,68945.063
DP 53,50,33.125,308750,50,5275,296917.3341
DP 54,50,33.375,214250,50,1405,1000000
DP 55,50,33.625,101750,50,7345,1000000
DP 56,50,33.875,493250,50,4465,74549.56571
DP 57,50,34.125,61250,50,5185,1000000
DP 58,50,34.375,191750,50,3385,1000000
DP 59,50,34.625,146750,50,9865,1000000
DP 60,50,34.875,223250,50,6175,1000000
DP 61,50,35.125,115250,50,2125,1000000
DP 62,50,35.375,470750,50,9055,93665.38508
DP 63,50,35.625,106250,50,6265,1000000
DP 64,50,35.875,452750,50,3565,170380.3474
DP 65,50,36.125,421250,50,7615,187392.0752
DP 66,50,36.375,313250,50,9325,705881.1172
DP 67,50,36.625,173750,50,9775,1000000
DP 68,50,36.875,151250,50,6715,1000000
DP 69,50,37.125,124250,50,5815,1000000
DP 70,50,37.375,466250,50,9685,190556.5643
DP 71,50,37.625,331250,50,7525,896705.7974
DP 72,50,37.875,457250,50,5095,288056.5228
DP 73,50,38.125,128750,50,6445,1000000
DP 74,50,38.375,83750,50,4555,1000000
DP 75,50,38.625,250250,50,6535,1000000
DP 76,50,38.875,407750,50,3115,1000000
DP 77,50,39.125,70250,50,6085,1000000
DP 78,50,39.375,344750,50,5635,1000000
DP 79,50,39.625,394250,50,8245,733815.2863
DP 80,50,39.875,155750,50,1585,1000000
DP 81,50,40.125,65750,50,2035,1000000
DP 82,50,40.375,439250,50,1765,1000000
DP 83,50,40.625,169250,50,2935,1000000
DP 84,50,40.875,286250,50,3475,1000000
DP 85,50,41.125,322250,50,8785,1000000
DP 86,50,41.375,236750,50,6895,1000000
DP 87,50,41.625,254750,50,8605,1000000
DP 88,50,41.875,425750,50,1495,1000000
DP 89,50,42.125,137750,50,7435,1000000
DP 90,50,42.375,376250,50,4735,1000000
DP 91,50,42.625,353750,50,5455,1000000
DP 92,50,42.875,340250,50,4015,1000000
DP 93,50,43.125,52250,50,2755,1000000
DP 94,50,43.375,277250,50,8965,1000000
DP 95,50,43.625,398750,50,5725,1000000
DP 96,50,43.875,367250,50,9235,1000000
DP 97,50,44.125,385250,50,1135,1000000
DP 98,50,44.375,326750,50,7705,1000000
DP 99,50,44.625,56750,50,5545,1000000
DP 100,50,44.875,380750,50,1045,1000000
