,PartNo,Dia2,Moment,Force,LifeMinimum
0,DP 0,30.0,400000,8000,33177.98821
1,DP 1,20.125,335750,6355,2312.609429
2,DP 2,20.375,92750,4825,152895.6365
3,DP 3,20.625,205250,8875,7870.191146
4,DP 4,20.875,362750,2665,2887.874963
5,DP 5,21.125,110750,7255,73956.1875
6,DP 6,21.375,263750,2215,9141.342133
7,DP 7,21.625,443750,4375,1936.538025
8,DP 8,21.875,227750,8515,9508.754208
9,DP 9,22.125,142250,7975,54681.45551
10,DP 10,22.375,74750,1225,1000000.0
11,DP 11,22.625,178250,1855,59887.80733
12,DP 12,22.875,412250,5995,3741.537515
13,DP 13,23.125,290750,3925,13726.71392
14,DP 14,23.375,160250,4645,78967.34615
15,DP 15,23.625,119750,7165,134125.6664
16,DP 16,23.875,295250,2305,16500.0213
17,DP 17,24.125,461750,5905,4123.329417
18,DP 18,24.375,187250,9415,42478.53333
19,DP 19,24.625,497750,1675,4304.267793
20,DP 20,24.875,317750,1945,17999.74521
21,DP 21,25.125,389750,2485,9288.657213
22,DP 22,25.375,479750,8425,4653.514969
23,DP 23,25.625,79250,3655,1000000.0
24,DP 24,25.875,281750,5365,33655.92837
25,DP 25,26.125,304250,6985,28305.06189
26,DP 26,26.375,245750,4195,70615.14453
27,DP 27,26.625,164750,8155,116474.592
28,DP 28,26.875,430250,8065,9423.941455
29,DP 29,27.125,371750,4285,19864.18054
30,DP 30,27.375,416750,3295,18340.78893
31,DP 32,27.875,209750,7075,147163.7436
32,DP 33,28.125,299750,6805,58253.37138
33,DP 34,28.375,218750,8335,103473.3475
34,DP 35,28.625,259250,9145,62939.69333
35,DP 36,28.875,434750,6625,17448.75344
36,DP 37,29.125,484250,7795,15018.23086
37,DP 38,29.375,358250,5005,49969.46317
38,DP 39,29.625,88250,4105,1000000.0
39,DP 40,29.875,241250,8695,141523.726
40,DP 41,30.125,488750,2845,24118.52393
41,DP 42,30.375,448250,3025,26700.95986
42,DP 43,30.625,133250,2575,1000000.0
43,DP 44,30.875,182750,3205,1000000.0
44,DP 45,31.125,272750,9955,92982.81929
45,DP 46,31.375,196250,2395,1000000.0
46,DP 47,31.625,232250,3835,445686.0313
47,DP 48,31.875,200750,4915,1000000.0
48,DP 49,32.125,268250,7885,179374.9802
49,DP 50,32.375,403250,9595,52333.14268
50,DP 51,32.625,97250,3745,1000000.0
51,DP 52,32.875,475250,1315,68945.063
52,DP 53,33.125,308750,5275,296917.3341
53,DP 54,33.375,214250,1405,1000000.0
54,DP 55,33.625,101750,7345,1000000.0
55,DP 56,33.875,493250,4465,74549.56571
56,DP 57,34.125,61250,5185,1000000.0
57,DP 58,34.375,191750,3385,1000000.0
58,DP 59,34.625,146750,9865,1000000.0
59,DP 60,34.875,223250,6175,1000000.0
60,DP 61,35.125,115250,2125,1000000.0
61,DP 62,35.375,470750,9055,93665.38508
62,DP 63,35.625,106250,6265,1000000.0
63,DP 64,35.875,452750,3565,170380.3474
64,DP 65,36.125,421250,7615,187392.0752
65,DP 66,36.375,313250,9325,705881.1172
66,DP 67,36.625,173750,9775,1000000.0
67,DP 68,36.875,151250,6715,1000000.0
68,DP 69,37.125,124250,5815,1000000.0
69,DP 70,37.375,466250,9685,190556.5643
70,DP 71,37.625,331250,7525,896705.7974
71,DP 72,37.875,457250,5095,288056.5228
72,DP 73,38.125,128750,6445,1000000.0
73,DP 74,38.375,83750,4555,1000000.0
74,DP 75,38.625,250250,6535,1000000.0
75,DP 76,38.875,407750,3115,1000000.0
76,DP 77,39.125,70250,6085,1000000.0
77,DP 78,39.375,344750,5635,1000000.0
78,DP 79,39.625,394250,8245,733815.2863
79,DP 80,39.875,155750,1585,1000000.0
80,DP 81,40.125,65750,2035,1000000.0
81,DP 82,40.375,439250,1765,1000000.0
82,DP 83,40.625,169250,2935,1000000.0
83,DP 84,40.875,286250,3475,1000000.0
84,DP 85,41.125,322250,8785,1000000.0
85,DP 86,41.375,236750,6895,1000000.0
86,DP 87,41.625,254750,8605,1000000.0
87,DP 88,41.875,425750,1495,1000000.0
88,DP 89,42.125,137750,7435,1000000.0
89,DP 90,42.375,376250,4735,1000000.0
90,DP 91,42.625,353750,5455,1000000.0
91,DP 92,42.875,340250,4015,1000000.0
92,DP 93,43.125,52250,2755,1000000.0
93,DP 94,43.375,277250,8965,1000000.0
94,DP 95,43.625,398750,5725,1000000.0
95,DP 96,43.875,367250,9235,1000000.0
96,DP 97,44.125,385250,1135,1000000.0
97,DP 98,44.375,326750,7705,1000000.0
98,DP 99,44.625,56750,5545,1000000.0
99,DP 100,44.875,380750,1045,1000000.0
