,Name,Rating,No. of Reviews,Type of Company
0,TCS,3.3,1.2L,IT Services & Consulting 
1,Accenture,3.7,74.3k,IT Services & Consulting 
2,Wipro,3.6,65.7k,IT Services & Consulting 
3,Cognizant,3.7,62k,IT Services & Consulting 
4,Capgemini,3.6,54k,IT Services & Consulting 
5,HDFC Bank,3.8,53.1k,Banking 
6,Infosys,3.5,49.3k,IT Services & Consulting 
7,HCLTech,3.4,46.5k,IT Services & Consulting 
8,ICICI Bank,3.9,46.3k,Banking 
9,Tech Mahindra,3.3,43.8k,IT Services & Consulting 
10,Genpact,3.6,42.8k,Analytics & KPO 
11,TP,3.9,39.1k,BPO 
12,Jio,4.4,33.8k,Telecom 
13,Axis Bank,3.6,33.7k,Banking 
14,Concentrix Corporation,3.6,32.6k,BPO 
15,Amazon,3.9,31.8k,Internet 
16,Reliance Retail,3.9,27.6k,Retail 
17,iEnergizer,4.6,27.3k,BPO 
18,LTIMindtree,3.6,26.7k,IT Services & Consulting 
19,IBM,3.9,26k,IT Services & Consulting 
20,HDB Financial Services,3.9,26k,NBFC 
21,Larsen & Toubro Limited,3.9,24.1k,Engineering & Construction 
22,Deloitte,3.6,23.5k,Management Consulting 
23,Kotak Mahindra Bank,3.6,22.7k,Banking 
24,Reliance Industries,4.0,20.4k,Oil & Gas 
25,Vodafone Idea,3.9,17.7k,Telecom 
26,Bharti Airtel,3.8,17.2k,Telecom 
27,BYJU'S,3.2,16.4k,EdTech 
28,WNS,3.3,15.4k,IT Services & Consulting 
29,IDFC FIRST Bank,3.9,14.9k,Banking 
30,Ernst & Young,3.4,14.8k,Management Consulting 
31,IndusInd Bank,3.4,14.4k,Banking 
32,AU Small Finance Bank,3.8,14.4k,Banking 
33,Tata Motors,4.1,14.3k,Automobile 
34,Bajaj Finserv,4.0,13.3k,NBFC 
35,Muthoot FinCorp,4.5,13.2k,NBFC 
36,Flipkart,3.9,13.1k,Internet 
37,PwC,3.3,12.9k,Management Consulting 
38,HDFC Life,3.8,12.2k,Insurance 
39,Mahindra & Mahindra,4.0,12.2k,Automobile 
40,Infosys BPM,3.5,12.2k,BPO 
41,DXC Technology,3.6,12.1k,IT Services & Consulting 
42,Bandhan Bank,3.7,11.3k,Banking 
43,Digitide Solutions,3.5,10.5k,IT Services & Consulting 
44,Mphasis,3.3,10.3k,IT Services & Consulting 
45,Yes Bank,3.7,10.3k,Banking 
46,Tata Steel,4.0,10k,Iron & Steel 
47,Quess,3.8,9.9k,Recruitment 
48,Asian Paints,3.9,9.7k,Chemicals 
49,Maruti Suzuki,4.1,9.6k,Automobile 
50,Startek,3.0,9.6k,BPO 
51,UltraTech Cement,4.1,9.6k,Building Material 
52,Paytm,3.2,9.4k,FinTech 
53,Bajaj Finance,3.9,9.4k,NBFC 
54,Shriram Finance,3.9,9.2k,NBFC 
55,Sutherland Global Services,3.4,9.1k,BPO 
56,Equitas Small Finance Bank,4.3,8.9k,Banking 
57,Wells Fargo,3.6,8.8k,Financial Services 
58,Cipla,4.1,8.7k,Pharma 
